Trnst ID,Settled Date,Description,Debit,Credit,Balance
75930161,2024-11-07T18:55:54Z,"Betvorosup02,Testing",0,1000,0
75930477,2024-11-07T18:56:50Z,"betvorodemouser,",500,0,500
76428105,2024-11-07T19:11:48Z,"Rejected betvorodemouser, Withdrew request, Request Ref.:35",300,0,300
75936462,2024-11-07T19:11:48Z,"betvorodemouser, Withdrew request, Request Ref.:35",0,300,0
77705970,2024-11-11T15:00:17Z,"mainul112,Order ID: 213218, Ref.: 213218",200,0,200
78065820,2024-11-12T10:00:30Z,"betvorodemouser,Testing",300,0,300
78108268,2024-11-12T11:47:07Z,"betvorodemouser,testing",0,520,0
78109023,2024-11-12T11:48:42Z,"betvorodemouser02,Testing",500,0,500
78109686,2024-11-12T11:50:02Z,"betvorodemouser02,testing, Account No. 3245634563456",0,500,0
78110116,2024-11-12T11:50:58Z,"betvorodemouser02,testing",500,0,500
78142220,2024-11-12T13:04:02Z,"mainul112, Withdrew request, Request Ref.:36",0,500,0
78147845,2024-11-12T13:18:57Z,"mainul112,withdrwal rejact",500,0,500
79099022,2024-11-14T13:39:10Z,"Betvorosup02,3 KG Cash Deposit",0,300000,0
79099598,2024-11-14T13:40:15Z,"mainul112,mainul112 amount 500.00 transfer to Account No. +8801791313367, Account No. +8801791313367",0,500,0
79100740,2024-11-14T13:42:53Z,"mainul112,Deposit to mainul112",500,0,500
79105215,2024-11-14T13:52:05Z,"mainul112,Withdraw from mainul112",0,500,0
79111637,2024-11-14T14:05:28Z,"mainul112,Deposit to mainul112",2000,0,2000
79114267,2024-11-14T14:10:38Z,"mainul112,mainul112 amount 500.00 transfer to Account No. 01791313367 Status, Account No. 01791313367",0,500,0
79124118,2024-11-14T14:32:34Z,"mainul112,Deposit to mainul112",1000,0,1000
79131560,2024-11-14T14:48:09Z,"mainul112, Withdrew request, Request Ref.:37",0,500,0
79137827,2024-11-14T15:01:31Z,"mainul112, Withdrew request, Request Ref.:39",0,500,0
79140411,2024-11-14T15:07:35Z,"betvorodemouser, Withdrew request, Request Ref.:40",0,10,0
79141450,2024-11-14T15:10:23Z,"mainul112, Withdrew request, Request Ref.:41",0,10,0
79142524,2024-11-14T15:12:58Z,"mainul112, Withdrew request, Request Ref.:42",0,10,0
79143532,2024-11-14T15:15:09Z,"mainul112, Withdrew request, Request Ref.:43",0,10,0
79143879,2024-11-14T15:15:47Z,"mainul112, Withdrew request, Request Ref.:44",0,10,0
79147404,2024-11-14T15:23:17Z,"mainul112, Withdrew request, Request Ref.:45",0,500,0
79966704,2024-11-16T09:56:40Z,"mainul112,Extra amount  reverse , Account No. 01791313367",0,500,0
79972721,2024-11-16T10:11:22Z,"mainul112,testing amount refund",500,0,500
80446831,2024-11-17T10:20:55Z,"Betvorosup02,1000 testing amount rev betvorosup2",10000,0,10000
80447323,2024-11-17T10:21:53Z,"Betvorosup02,9k by mistake extra rev",0,9000,0
80937242,2024-11-18T12:37:43Z,"sakil007,Order ID: 213262, Ref.: 213262",5000,0,5000
80938445,2024-11-18T12:41:12Z,"sakil007,by mistake",0,5000,0
80964463,2024-11-18T13:50:49Z,"Anamule,Order ID: 213273, Ref.: 213273",500,0,500
80991172,2024-11-18T14:43:53Z,"arifarabi,Order ID: 213277, Ref.: 213277",400,0,400
80991300,2024-11-18T14:44:11Z,"Anamule,Withdraw Anamule , Account No. 01317788458",0,1600,0
81027392,2024-11-18T15:49:04Z,"Lotibur12,Order ID: 213288, Ref.: 213288",1000,0,1000
81045043,2024-11-18T16:19:25Z,"ghrajib,Order ID: 213292, Ref.: 213292",5000,0,5000
81049111,2024-11-18T16:26:34Z,"arifarabi,Withdraw Anamule , Account No. 01721125125",0,510,0
81090492,2024-11-18T17:45:15Z,"arfat7890,Order ID: 213306, Ref.: 213306",200,0,200
81099405,2024-11-18T18:01:10Z,"shihab7,Order ID: 213308, Ref.: 213308",200,0,200
81125576,2024-11-18T18:58:36Z,"mominhossain2425,Order ID: 213311, Ref.: 213311",200,0,200
81127177,2024-11-18T19:03:59Z,"hasen11,Order ID: 213312, Ref.: 213312",200,0,200
81137358,2024-11-18T19:34:16Z,"mominhossain2425,Order ID: 213317, Ref.: 213317",1000,0,1000
81144049,2024-11-18T19:55:51Z,"mominhossain2425,Withdraw mominhossain2425 , Account No. 01757618846",0,1100,0
81166670,2024-11-18T22:09:23Z,"mominhossain2425,Deposit amount refund",1100,0,1100
81204596,2024-11-19T03:07:41Z,"hasen11,Order ID: 213320, Ref.: 213320",300,0,300
81214900,2024-11-19T03:56:51Z,"abu88571,Order ID: 213321, Ref.: 213321",200,0,200
81241231,2024-11-19T05:38:05Z,"Suman68,Order ID: 213330, Ref.: 213330",650,0,650
81262671,2024-11-19T06:39:54Z,"hasen11,Order ID: 213339, Ref.: 213339",500,0,500
81277270,2024-11-19T07:18:26Z,"Newaz92,Order ID: 213353, Ref.: 213353",200,0,200
81277268,2024-11-19T07:18:26Z,"hasen11,Order ID: 213352, Ref.: 213352",400,0,400
